	x	y

7MaliBamako	-7.99	12.62
9MaliBamako	-7.99	12.62
11MaliBamako	-7.99	12.62
75KGatamaiyu1	36.72	-1.00
96KRift1	36.56	-0.96
97KRift1	36.56	-0.96
98KRift1	36.56	-0.96
99KKitale2	34.82	1.20
100KKitale2	34.82	1.20
105GhaNkawkaw	-0.75	6.67
106GhaNkawkaw	-0.75	6.67
107GhaBibiani	-2.24	6.30
108GhaBibiani	-2.24	6.30
109GhaSagyimasse	-0.52	6.24
110GhaSagyimasse	-0.52	6.24
111BeTchaourou	2.56	9.09
112BeTchaourou	2.56	9.09
113BeTchaourou	2.56	9.09
114BeTchaourou	2.56	9.09
119GhaBobiri	-1.37	6.70
120GhaNkawkaw	-0.75	6.67
122ToDzogbegan	0.69	7.24
123BeAttogon	2.17	6.70
124BeAttogon	2.17	6.70
125BeAttogon	2.17	6.70
126BeAttogon	2.17	6.70
127BeAttogon	2.17	6.70
128BeAttogon	2.17	6.70
129BeAttogon	2.17	6.70
130KMKenya1	37.16	-0.93
132KMKenya1	37.16	-0.93
137KKitale1	34.83	0.79
138KKitale1	34.83	0.79
139KKitale2	34.82	1.20
140KKitale2	34.82	1.20
141ToDzogbegan	0.69	7.24
142ToDzogbegan	0.69	7.24
143ToDzogbegan	0.69	7.24
144ToDzogbegan	0.69	7.24
145ToDzogbegan	0.69	7.24
146ToDzogbegan	0.69	7.24
148ToDzogbegan	0.69	7.24
149ToDzogbegan	0.69	7.24
150ToDzogbegan	0.69	7.24
151ToDzogbegan	0.69	7.24
152ToDzogbegan	0.69	7.24
153ToDzogbegan	0.69	7.24
154GhaBibiani	-2.24	6.30
155GhaBibiani	-2.24	6.30
156GhaBibiani	-2.24	6.30
157GhaNkawkaw	-0.75	6.67
158GhaNkawkaw	-0.75	6.67
159GhaNkawkaw	-0.75	6.67
160GhaSagyimasse	-0.52	6.24
161GhaSagyimasse	-0.52	6.24
162GhaSagyimasse	-0.52	6.24
163GhaSagyimasse	-0.52	6.24
164KMombasa1	37.26	-1.84
165KMombasa1	37.26	-1.84
166KMombasa1	37.26	-1.84
167KTaita1	38.34	-3.37
168KTaita1	38.34	-3.37
169KMKenya4	37.06	-0.05
170KMKenya4	37.06	-0.05
171KMKenya4	37.06	-0.05
174KRift4	36.15	-0.32
175KRift4	36.15	-0.32
176KRift4	36.15	-0.32
177KKakamega	34.90	0.23
184BeOuegbo	2.17	6.84
185BeOuegbo	2.17	6.84
186BeBirni	1.55	9.95
187BeBirni	1.55	9.95
189BeRboukounbe	1.35	10.31
190BeRboukounbe	1.35	10.31
191GhaRtamale	-2.90	6.46
192KTaita1	38.34	-3.37
193KTaita1	38.34	-3.37
194KCherangani	35.25	1.35
195KCherangani	35.25	1.35
196GhaSagyimasse	-0.52	6.24
198BeRboukounbe	1.35	10.31
199BeRboukounbe	1.35	10.31
200BeNgou	1.35	10.31
201BeKoarba	1.35	10.31
202GhaAbettifi	-0.88	6.81
203GhaAbettifi	-0.88	6.81
204BeTchaourou	2.56	9.09
205BeTchaourou	2.56	9.09
214KEldoret1	35.23	0.58
215KTaita1	38.34	-3.37
216KKitui2	38.06	-1.32
218BeOuegbo	2.17	6.84
219BeRboukounbe	1.35	10.31
222GhaSagyimasse	-0.52	6.24
223GhaSagyimasse	-0.52	6.24
224BeTchaourou	2.56	9.09
225BeTchaourou	2.56	9.09
227GhaBibiani	-2.24	6.30
229GhaBibiani	-2.24	6.30
230GhaNkawkaw	-0.75	6.67
231BeTchaourou	2.56	9.09
232GhaSagyimasse	-0.52	6.24
233GhaSagyimasse	-0.52	6.24
234GhaSagyimasse	-0.52	6.24
238GhaAbettifi	-0.88	6.81
239BeAttogon	2.17	6.70
240BeAttogon	2.17	6.70
241BeAttogon	2.17	6.70
242BeOuegbo	2.17	6.84
245BeBirni	1.55	9.95
246BeBirni	1.55	9.95
247BeRboukounbe	1.35	10.31
248BeRboukounbe	1.35	10.31
249BeRboukounbe	1.35	10.31
250BeRboukounbe	1.35	10.31
251BeRboukounbe	1.35	10.31
256BeOuegbo	2.17	6.84
258BeRBoukounbe	1.35	10.31
259BeRBoukounbe	1.35	10.31
261GhaAbettifi	-0.88	6.81
266CamNkometou	11.83	4.18
269CamNkometou	11.83	4.18
272CamNkometou	11.83	4.18
277CamNkometou	11.83	4.18
281CamNkometou	11.83	4.18
283CamNKometou	11.83	4.18
285KHomaBay	34.55	-0.46
286KHomaBay	34.55	-0.46
287KHomaBay	34.55	-0.46
288KHomaBay	34.55	-0.46
289KHomaBay	34.55	-0.46
290KKisii1	34.98	-0.77
291KKisii1	34.98	-0.77
292KKisii1	34.98	-0.77
293KKisii2	34.53	-0.91
294KKisii2	34.53	-0.91
295KKisii1	34.98	-0.77
297KLoitokitok1	37.52	-2.72
298KLoitokitok1	37.52	-2.72
299KLoitokitok2	37.52	-2.93
300KLoitokitok2	37.52	-2.93
301KLoitokitok2	37.52	-2.93
302KLoitokitok2	37.52	-2.93
303KLoitokitok2	37.52	-2.93
304KMachakos2	37.28	-1.49
305KMachakos2	37.28	-1.49
306KMachakos2	37.28	-1.49
307KMachakos2	37.28	-1.49
308KMachakos2	37.28	-1.49
309KMeru1	37.61	-0.38
310KMeru1	37.61	-0.38
311KMeru1	37.61	-0.38
312KMeru1	37.61	-0.38
313KMeru2	37.47	0.14
314KMeru2	37.47	0.14
315KMeru2	37.47	0.14
316KMeru2	37.47	0.14
317KMeru2	37.47	0.14
318KMolo	35.63	-0.17
319KMolo	35.63	-0.17
320KMolo	35.63	-0.17
321KMolo	35.63	-0.17
322KMolo	35.63	-0.17
323KMombasa2	37.49	-2.09
324KMombasa2	37.49	-2.09
325KNarok2	35.64	-1.01
327KMKenya2	37.27	-0.72
328KMKenya2	37.27	-0.72
330KNarok1	36.12	-1.09
331KNarok1	36.12	-1.09
332KNarok1	36.12	-1.09
333KNarok2	35.64	-1.01
334KNarok2	35.64	-1.01
335KNarok2	35.64	-1.01
336KNarok2	35.64	-1.01
337KNyahururu	36.57	-0.08
338KNyahururu	36.57	-0.08
339KNyahururu	36.57	-0.08
340KNyahururu	36.57	-0.08
341KNyahururu	36.57	-0.08
342KNyembeni	37.91	0.24
343KNyembeni	37.91	0.24
344KNyembeni	37.91	0.24
345KNyembeni	37.91	0.24
346KNyembeni	37.91	0.24
348KRift2	36.39	-0.66
349KRift2	36.39	-0.66
350KRift2	36.39	-0.66
352KRift5	35.90	0.11
353KRift5	35.90	0.11
354KRift5	35.90	0.11
355KRift5	35.90	0.11
356KRift5	35.90	0.11
357KTaita2	38.37	-3.44
358KTaita2	38.37	-3.44
359KTaita2	38.37	-3.44
360KHomaBay	34.55	-0.46
361KHomaBay	34.55	-0.46
362KHomaBay	34.55	-0.46
363KHomaBay	34.55	-0.46
364KHomaBay	34.55	-0.46
365KKisii1	34.98	-0.77
366KLoitokitok2	37.52	-2.93
367KLoitokitok2	37.52	-2.93
368KLoitokitok2	37.52	-2.93
370KLoitokitok2	37.52	-2.93
371KMachakos2	37.28	-1.49
372KMachakos2	37.28	-1.49
373KMachakos2	37.28	-1.49
374KMachakos2	37.28	-1.49
375KMachakos2	37.28	-1.49
376KMeru2	37.47	0.14
377KMKenya2	37.27	-0.72
378KMKenya2	37.27	-0.72
379KMKenya2	37.27	-0.72
380KMKenya2	37.27	-0.72
381KMKenya2	37.27	-0.72
382KNarok2	35.64	-1.01
383KNarok2	35.64	-1.01
384KNyahururu	36.57	-0.08
385KNyahururu	36.57	-0.08
386KNyahururu	36.57	-0.08
387KNyahururu	36.57	-0.08
388KNyembeni	37.91	0.24
389KGatamaiyu1	36.72	-1.00
390KGatamaiyu1	36.72	-1.00
391KGatamaiyu1	36.72	-1.00
392KGatamaiyu1	36.72	-1.00
393KGatamaiyu1	36.72	-1.00
394KGatamaiyu1	36.72	-1.00
395KGatamaiyu1	36.72	-1.00
396KGatamaiyu1	36.72	-1.00
397KGatamaiyu1	36.72	-1.00
398KGatamaiyu1	36.72	-1.00
399KGatamaiyu1	36.72	-1.00
400KHomabay	34.55	-0.46
401KKisumu1	35.25	-0.36
402KKisumu1	35.25	-0.36
403KKisumu1	35.25	-0.36
404KKisumu1	35.25	-0.36
405KEldoret1	35.23	0.58
406KKisumu1	35.25	-0.36
407KKisumu2	34.91	-0.17
408KKisumu2	34.91	-0.17
409KKisumu2	34.91	-0.17
411KKisumu2	34.91	-0.17
413KKisumu2	34.91	-0.17
414KKisumu2	34.91	-0.17
415KKisumu2	34.91	-0.17
417KKakamega	34.90	0.23
419KKakamega	34.90	0.23
422KKakamega	34.90	0.23
423KEldoret1	35.23	0.58
424KEldoret1	35.23	0.58
427KEldoret1	35.23	0.58
428KEldoret1	35.23	0.58
429KEldoret1	35.23	0.58
430KEldoret1	35.23	0.58
431KKisumu4	34.45	0.60
432KKisumu4	34.45	0.60
433KKisumu4	34.45	0.60
434KKisumu4	34.45	0.60
435KKisumu4	34.45	0.60
437KKisumu4	34.45	0.60
438KKisumu4	34.45	0.60
439KKitale1	34.83	0.79
440KKitale1	34.83	0.79
441KKitale1	34.83	0.79
442KKitale1	34.83	0.79
443KKitale2	34.82	1.20
444KKitale2	34.82	1.20
445KKitale2	34.82	1.20
446KKitale2	34.82	1.20
447KKitui2	38.06	-1.32
448KKitui2	38.06	-1.32
508KKakamega	34.90	0.23
520KKakamega	34.90	0.23
521KKakamega	34.90	0.23
539KKakamega	34.90	0.23
550KKisumu4	34.45	0.60
551KKisumu4	34.45	0.60
552KKisumu4	34.45	0.60
553KKisumu4	34.45	0.60
554KKisumu4	34.45	0.60
555KKisumu4	34.45	0.60
556KKisumu4	34.45	0.60
557KMombasa1	37.26	-1.84
558KMombasa1	37.26	-1.84
559KMombasa1	37.26	-1.84
560KMombasa1	37.26	-1.84
